,ASTE
Price/Earnings (TTM),
Price/Sales (TTM),0.84362
Price/Book (MRQ),1.60243
Price/Cash Flow (TTM),50.04649
5yr Low,25.17
5yr High,80.0
5yr Avg Return,0.03333333333333335
EPS Growth 5yr,-0.2011042
Revenue Growth 5yr,-0.0089129
Dividend Growth 5yr,0.0238363
Short Int Current Month,316522.0
Short Int Prev Month,421168.0
Short Int Pct of Float,0.0141479
Days to Cover,2.4885
Float,22.37988
Shares Outstanding,22.71245
Institutions Holding Shares,231.0
% Held by Institutions,0.9499679999999999
FCF Growth 5yr,0.9743145654320488
