,ASTE
% Above Low,0.4269
% Held by Institutions,0.95
52-Wk Range,['31.04 - 72.96']
Annual Dividend $,0.52
Annual Dividend %,0.011699999999999999
Ask,71.47
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.5
Bid,41.0
Bid Size,400.0
Closing Price,44.29
Day Change $,1.36
Day Change %,0.0317
Day High,44.81
Day Low,42.56
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",-0.37
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.443
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,42.93
Shares Outstanding,22.7M
Short Interest,0.0141
Today's Open,42.56
Volume,130624.0
Volume 10-day Avg,121167.0
Volume Past Day,(Average)
