,NX
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,1.7752808988764048
Growth 1yr High Est,1.6842105263157894
Growth 1yr Consensus Est,1.729745712596097
Growth 2yr Low Est,0.7965473320292955
Growth 2yr High Est,0.8519091847265222
Growth 2yr Consensus Est,0.8242282583779088
Growth 5yr Low Est,0.39827366601464775
Growth 5yr High Est,0.4259545923632611
Growth 5yr Consensus Est,0.4121141291889544
Growth 5yr Actual/Est,0.2782256717061471
Growth 3yr Historic,0.17913837011884554
