,NX
Price/Earnings (TTM),13.76747
Price/Sales (TTM),0.65861
Price/Book (MRQ),1.76362
Price/Cash Flow (TTM),8.04486
5yr Low,7.9
5yr High,29.02
5yr Avg Return,0.051800000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.0292579
Dividend Growth 5yr,0.1486984
Short Int Current Month,1236929.0
Short Int Prev Month,1284801.0
Short Int Pct of Float,0.037974299999999996
Days to Cover,9.93805
Float,32.57282
Shares Outstanding,33.12925
Institutions Holding Shares,230.0
% Held by Institutions,0.979616
FCF Growth 5yr,-1.6434122400609041
