,NX
% Below High,0.0759
% Held by Institutions,0.9795999999999999
52-Wk Range,['18.00 - 25.94']
Annual Dividend $,0.32
Annual Dividend %,0.0134
Ask,28.29
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,23.18
Bid Size,300.0
Change Since Close,0.23| |(0.96%)
Closing Price,23.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.74
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.375
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,24.2
Market Cap,795.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.77
Prev Close,23.97
Shares Outstanding,33.1M
Short Interest,0.038
Today's Open,
Volume,20.0
Volume 10-day Avg,108391.0
Volume Past Day,(Light)
