,UTHR
% Below High,0.0045000000000000005
% Held by Institutions,0.9917
52-Wk Range,['158.38 - 271.92']
Annual Dividend $,
Annual Dividend %,
Ask,270.7
Ask Size,1800.0
B/A Ratio,0.1111111111111111
B/A Size,200x1800
Beta,0.6
Bid,270.48
Bid Size,200.0
Closing Price,270.69
Day Change $,2.62
Day Change %,0.0098
Day High,271.88
Day Low,267.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.7
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,12.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.24
Prev Close,268.07
Shares Outstanding,45.6M
Short Interest,0.0316
Today's Open,267.41
Volume,297190.0
Volume 10-day Avg,295201.0
Volume Past Day,(Average)
