,UTHR
Price/Earnings (TTM),18.23962
Price/Sales (TTM),6.56872
Price/Book (MRQ),2.67724
Price/Cash Flow (TTM),16.11636
5yr Low,74.31
5yr High,271.92
5yr Avg Return,0.18816666666666668
EPS Growth 5yr,-0.0798498
Revenue Growth 5yr,0.0106178
Dividend Growth 5yr,
Short Int Current Month,1413520.0
Short Int Prev Month,1324067.0
Short Int Pct of Float,0.0315792
Days to Cover,2.54314
Float,44.75935
Shares Outstanding,45.57695
Institutions Holding Shares,633.0
% Held by Institutions,0.991668
FCF Growth 5yr,0.15667546988301698
