,LTHM
% Above Low,0.39020000000000005
% Held by Institutions,0.9274
52-Wk Range,['19.35 - 36.38']
Annual Dividend $,
Annual Dividend %,
Ask,26.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,26.51
Bid Size,100.0
Change Since Close,-0.31| |(-1.15%)
Closing Price,26.9
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.736
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,26.59
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",27.43
Prev Close,26.9
Shares Outstanding,179.4M
Short Interest,0.1155
Today's Open,
Volume,1215.0
Volume 10-day Avg,3594370.0
Volume Past Day,(Light)
