,LTHM
Price/Earnings (TTM),27.43135
Price/Sales (TTM),6.73246
Price/Book (MRQ),3.56205
Price/Cash Flow (TTM),21.53125
5yr Low,3.95
5yr High,36.38
5yr Avg Return,0.1946
EPS Growth 5yr,-0.6027108
Revenue Growth 5yr,0.09743510000000001
Dividend Growth 5yr,
Short Int Current Month,20574601.0
Short Int Prev Month,21856059.0
Short Int Pct of Float,0.1154886
Days to Cover,5.32195
Float,178.1617
Shares Outstanding,179.3737
Institutions Holding Shares,581.0
% Held by Institutions,0.927428
FCF Growth 5yr,-0.8246244235646989
