,LTHM
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-22.666666666666668
Growth 1yr High Est,8.0
Growth 1yr Consensus Est,-7.333333333333334
Growth 2yr Low Est,-11.256410256410257
Growth 2yr High Est,4.138888888888889
Growth 2yr Consensus Est,-3.558760683760684
Growth 5yr Low Est,-5.915705128205128
Growth 5yr High Est,1.9281400966183575
Growth 5yr Consensus Est,-1.9937825157933853
Growth 5yr Actual/Est,0.3220496894409939
Growth 3yr Historic,-1.4297619047619046
