,STT
Price/Earnings (TTM),10.9186
Price/Sales (TTM),2.34737
Price/Book (MRQ),1.19785
Price/Cash Flow (TTM),7.59302
5yr Low,42.1
5yr High,114.27
5yr Avg Return,-0.012600000000000005
EPS Growth 5yr,0.0765657
Revenue Growth 5yr,-0.0486114
Dividend Growth 5yr,0.0875527
Short Int Current Month,3072141.0
Short Int Prev Month,3432964.0
Short Int Pct of Float,0.0083973
Days to Cover,1.3324
Float,366.2233
Shares Outstanding,366.9402
Institutions Holding Shares,1139.0
% Held by Institutions,0.8786039999999999
FCF Growth 5yr,9.978074642765257
