,STT
% Above Low,0.25129999999999997
% Held by Institutions,0.8786
52-Wk Range,['58.62 - 104.87']
Annual Dividend $,2.52
Annual Dividend %,0.0327
Ask,73.36
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,73.33
Bid Size,200.0
Day Change $,-3.72
Day Change %,-0.0482
Day High,76.24
Day Low,73.26
Dividend Pay Date,2022-10-13 00:00:00
"EPS (TTM, GAAP)",7.06
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.392
Last (size),100.0
Last (time),3:36p ET 11/28/22
Market Cap,26.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.92
Prev Close,77.06
Price,73.35
Shares Outstanding,366.9M
Short Interest,0.0084
Today's Open,76.14
Volume Past Day,(Light)
