,STT
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.013986013986014068
Growth 1yr High Est,-0.022911051212938016
Growth 1yr Consensus Est,-0.018448532599476042
Growth 2yr Low Est,0.024921886624014233
Growth 2yr High Est,0.11957895715215172
Growth 2yr Consensus Est,0.07225042188808298
Growth 5yr Low Est,0.06953458358330486
Growth 5yr High Est,0.11816100900642978
Growth 5yr Consensus Est,0.09384779629486732
Growth 5yr Actual/Est,0.07983184787697031
Growth 3yr Historic,0.04908681874259174
