,NTNX
Price/Earnings (TTM),
Price/Sales (TTM),4.17876
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,11.31
5yr High,64.87
5yr Avg Return,-0.024700000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.13321170000000002
Dividend Growth 5yr,
Short Int Current Month,6436086.0
Short Int Prev Month,6065232.0
Short Int Pct of Float,0.0285722
Days to Cover,3.0832
Float,228.3453
Shares Outstanding,230.0858
Institutions Holding Shares,365.0
% Held by Institutions,0.7725839999999999
FCF Growth 5yr,-5.333333333333333
