,NTNX
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-28.0
Growth 2yr High Est,1.4242424242424243
Growth 2yr Consensus Est,-13.287878787878787
Growth 5yr Low Est,-28.0
Growth 5yr High Est,1.4242424242424243
Growth 5yr Consensus Est,-13.287878787878787
Growth 5yr Actual/Est,0.12340070580929219
Growth 3yr Historic,-0.2674855818161258
