,NTNX
% Below High,0.19260000000000002
% Held by Institutions,0.7726000000000001
52-Wk Range,['13.44 - 35.56']
Annual Dividend $,
Annual Dividend %,
Ask,28.68
Ask Size,100.0
Ask close,30.58
B/A Ratio,5.0
B/A Size,500x100
Beta,1.2
Bid,28.47
Bid Size,500.0
Bid close,26.93
Change Since Close,-0.21| |(-0.73%)
Closing Price,28.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.65
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),1000.0
Last (time),1:00p ET 11/25/22
Last Trade,28.5
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.71
Shares Outstanding,230.1M
Short Interest,0.0286
Today's Open,
Volume,1351.0
Volume 10-day Avg,1638115.0
Volume Past Day,(Light)
