,AL
% Below High,0.18230000000000002
% Held by Institutions,0.8968
52-Wk Range,['29.75 - 47.00']
Annual Dividend $,0.8
Annual Dividend %,0.0208
Ask,38.86
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.8
Bid,
Bid Size,
Closing Price,38.43
Day Change $,0.19
Day Change %,0.005
Day High,38.54
Day Low,38.16
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",-1.11
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.438
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,38.24
Shares Outstanding,110.9M
Short Interest,0.0246
Today's Open,38.32
Volume,105954.0
Volume 10-day Avg,368790.0
Volume Past Day,(Light)
