,AL
Price/Earnings (TTM),
Price/Sales (TTM),1.84255
Price/Book (MRQ),0.65278
Price/Cash Flow (TTM),5.24423
5yr Low,8.41
5yr High,52.96
5yr Avg Return,0.0251
EPS Growth 5yr,0.007476399999999999
Revenue Growth 5yr,0.0803449
Dividend Growth 5yr,0.2420178
Short Int Current Month,2540104.0
Short Int Prev Month,2562511.0
Short Int Pct of Float,0.0245779
Days to Cover,4.4363
Float,103.6134
Shares Outstanding,110.8921
Institutions Holding Shares,366.0
% Held by Institutions,0.89678
FCF Growth 5yr,1.214683468404482
