,RGP
Price/Earnings (TTM),8.9983
Price/Sales (TTM),0.78867
Price/Book (MRQ),1.66191
Price/Cash Flow (TTM),8.04257
5yr Low,8.66
5yr High,23.18
5yr Avg Return,0.04545000000000001
EPS Growth 5yr,0.2914593
Revenue Growth 5yr,0.06651309999999999
Dividend Growth 5yr,0.0542507
Short Int Current Month,502771.0
Short Int Prev Month,596398.0
Short Int Pct of Float,0.015649
Days to Cover,3.32215
Float,32.1775
Shares Outstanding,33.75086
Institutions Holding Shares,252.0
% Held by Institutions,0.8508920000000001
FCF Growth 5yr,5.4682223316757606
