,RGP
% Above Low,0.23329999999999998
% Held by Institutions,0.8509
52-Wk Range,['15.69 - 23.18']
Annual Dividend $,0.56
Annual Dividend %,0.028999999999999998
Ask,19.39
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,19.35
Bid Size,200.0
Day Change $,0.05
Day Change %,0.0026
Day High,19.42
Day Low,19.27
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.359
Last (size),40.0
Last (time),12:40p ET 11/28/22
Market Cap,653.1M
"P/E Ratio (TTM, GAAP)",9.0
Prev Close,19.3
Price,19.35
Shares Outstanding,33.8M
Short Interest,0.015600000000000001
Today's Open,19.27
Volume Past Day,(Light)
