,PAYX
Price/Earnings (TTM),31.09416
Price/Sales (TTM),9.37801
Price/Book (MRQ),14.1534
Price/Cash Flow (TTM),27.26735
5yr Low,47.87
5yr High,141.92
5yr Avg Return,0.12783333333333333
EPS Growth 5yr,0.10976380000000001
Revenue Growth 5yr,0.0790148
Dividend Growth 5yr,0.08525650000000001
Short Int Current Month,9802712.0
Short Int Prev Month,9478823.0
Short Int Pct of Float,0.030484200000000003
Days to Cover,6.25579
Float,321.6642
Shares Outstanding,360.4
Institutions Holding Shares,1796.0
% Held by Institutions,0.681513
FCF Growth 5yr,0.23829194033651138
