,PAYX
% Above Low,0.1516
% Held by Institutions,0.6815000000000001
52-Wk Range,['105.66 - 141.92']
Annual Dividend $,3.16
Annual Dividend %,0.0256
Ask,121.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,121.67
Bid Size,200.0
Day Change $,-1.53
Day Change %,-0.0124
Day High,122.62
Day Low,121.65
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.96
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.28600000000000003
Last (size),100.0
Last (time),10:10a ET 11/28/22
Market Cap,43.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.09
Prev Close,123.21
Price,121.68
Shares Outstanding,360.4M
Short Interest,0.0305
Today's Open,122.0
Volume Past Day,(Light)
