,VCYT
Price/Earnings (TTM),
Price/Sales (TTM),6.62938
Price/Book (MRQ),1.79324
Price/Cash Flow (TTM),
5yr Low,5.23
5yr High,86.03
5yr Avg Return,0.3991166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2752527
Dividend Growth 5yr,
Short Int Current Month,3743331.0
Short Int Prev Month,3795594.0
Short Int Pct of Float,0.052794299999999995
Days to Cover,2.73858
Float,71.02813
Shares Outstanding,71.7529
Institutions Holding Shares,299.0
% Held by Institutions,1.04576
FCF Growth 5yr,-0.26237276237276236
