,MKTX
Price/Earnings (TTM),39.86855
Price/Sales (TTM),13.70265
Price/Book (MRQ),9.48885
Price/Cash Flow (TTM),31.84992
5yr Low,172.09
5yr High,606.45
5yr Avg Return,0.12261666666666665
EPS Growth 5yr,0.1515193
Revenue Growth 5yr,0.13571149999999998
Dividend Growth 5yr,
Short Int Current Month,899008.0
Short Int Prev Month,852947.0
Short Int Pct of Float,0.0245137
Days to Cover,2.01561
Float,36.6737
Shares Outstanding,37.63682
Institutions Holding Shares,736.0
% Held by Institutions,0.966892
FCF Growth 5yr,-0.6887187352583579
