,ORGN
% Above Low,0.1935
% Held by Institutions,0.2954
52-Wk Range,['4.65 - 7.71']
Annual Dividend $,
Annual Dividend %,
Ask,5.55
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,5.55
Bid Size,500.0
Day Change $,-0.09
Day Change %,-0.016
Day High,5.61
Day Low,5.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.48
Ex-dividend Date,No dividend
Historical Volatility,0.5650000000000001
Last (size),100.0
Last (time),9:37a ET 11/28/22
Market Cap,792.0M
"P/E Ratio (TTM, GAAP)",11.82
Prev Close,5.64
Price,5.55
Shares Outstanding,142.7M
Short Interest,0.075
Today's Open,5.61
Volume Past Day,(Heavy Day)
