,BC
Price/Earnings (TTM),8.69005
Price/Sales (TTM),0.7974
Price/Book (MRQ),2.65809
Price/Cash Flow (TTM),6.16781
5yr Low,25.22
5yr High,117.62
5yr Avg Return,0.07728333333333332
EPS Growth 5yr,0.20553349999999998
Revenue Growth 5yr,0.0542764
Dividend Growth 5yr,0.1569831
Short Int Current Month,3506182.0
Short Int Prev Month,4094214.0
Short Int Pct of Float,0.0489765
Days to Cover,4.8442
Float,71.60707
Shares Outstanding,72.50651
Institutions Holding Shares,489.0
% Held by Institutions,0.9430200000000001
FCF Growth 5yr,-1.2752565425843265
