,BC
% Above Low,0.18359999999999999
% Held by Institutions,0.943
52-Wk Range,['61.89 - 103.43']
Annual Dividend $,1.46
Annual Dividend %,0.0199
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.6
Bid,72.77
Bid Size,
Closing Price,73.25
Day Change $,-0.37
Day Change %,-0.005
Day High,73.88
Day Low,73.24
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.43
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.43100000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.69
Prev Close,73.62
Shares Outstanding,72.5M
Short Interest,0.049
Today's Open,73.37
Volume,184898.0
Volume 10-day Avg,607533.0
Volume Past Day,(Light)
