,OCUL
% Above Low,0.09029999999999999
% Held by Institutions,0.556
52-Wk Range,['2.77 - 7.39']
Annual Dividend $,
Annual Dividend %,
Ask,3.02
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2.81
Bid Size,200.0
Closing Price,3.02
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.8059999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,232.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.02
Shares Outstanding,77.0M
Short Interest,0.0385
Today's Open,
Volume,295519.0
Volume 10-day Avg,552940.0
Volume Past Day,(Light)
