,OCUL
Price/Earnings (TTM),
Price/Sales (TTM),4.67706
Price/Book (MRQ),5.03085
Price/Cash Flow (TTM),
5yr Low,2.35
5yr High,24.3
5yr Avg Return,0.49155
EPS Growth 5yr,
Revenue Growth 5yr,0.8732139999999999
Dividend Growth 5yr,
Short Int Current Month,2925878.0
Short Int Prev Month,3331771.0
Short Int Pct of Float,0.0384531
Days to Cover,3.82871
Float,76.0984
Shares Outstanding,77.01038
Institutions Holding Shares,163.0
% Held by Institutions,0.55604
FCF Growth 5yr,
