,PRA
Next Earnings Announcement,2023-02-20 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.695652173913043
Growth 2yr High Est,1.0
Growth 2yr Consensus Est,1.8478260869565215
Growth 5yr Low Est,2.695652173913043
Growth 5yr High Est,1.0
Growth 5yr Consensus Est,1.8478260869565215
Growth 5yr Actual/Est,-0.8724920595018635
Growth 3yr Historic,-1.0125830959164293
