,PRA
Price/Earnings (TTM),60.56269
Price/Sales (TTM),0.97166
Price/Book (MRQ),1.00688
Price/Cash Flow (TTM),18.3404
5yr Low,12.67
5yr High,63.45
5yr Avg Return,-0.12359999999999999
EPS Growth 5yr,-0.0116298
Revenue Growth 5yr,0.0395741
Dividend Growth 5yr,-0.3252564
Short Int Current Month,983875.0
Short Int Prev Month,747944.0
Short Int Pct of Float,0.018508800000000002
Days to Cover,2.43181
Float,53.15787
Shares Outstanding,53.96356
Institutions Holding Shares,240.0
% Held by Institutions,0.8607250000000001
FCF Growth 5yr,
