,PRA
% Above Low,0.0779
% Held by Institutions,0.8606999999999999
52-Wk Range,['18.35 - 27.55']
Annual Dividend $,0.2
Annual Dividend %,0.0101
Ask,19.8
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.3
Bid,19.76
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0055000000000000005
Day High,19.97
Day Low,19.77
Dividend Pay Date,2022-10-13 00:00:00
"EPS (TTM, GAAP)",0.33
Ex-dividend,2022-09-28 00:00:00
Ex-dividend Date,09/28/22
Historical Volatility,0.332
Last (size),2.0
Last (time),11:24a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",60.56
Prev Close,19.89
Price,19.78
Shares Outstanding,54.0M
Short Interest,0.018500000000000003
Today's Open,19.89
Volume Past Day,(Light)
