,DAWN
% Below High,0.24480000000000002
% Held by Institutions,0.7434999999999999
52-Wk Range,['5.44 - 28.35']
Annual Dividend $,
Annual Dividend %,
Ask,23.25
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,20.0
Bid Size,200.0
Closing Price,21.41
Day Change $,0.27
Day Change %,0.0128
Day High,21.5
Day Low,20.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,1.092
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.14
Shares Outstanding,73.5M
Short Interest,0.0886
Today's Open,21.06
Volume,84243.0
Volume 10-day Avg,439085.0
Volume Past Day,(Light)
