,DAWN
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.33488
Price/Cash Flow (TTM),
5yr Low,5.44
5yr High,28.7
5yr Avg Return,-0.023900000000000005
Short Int Current Month,4558825.0
Short Int Prev Month,5037983.0
Short Int Pct of Float,0.08856389999999999
Days to Cover,8.23298
Float,51.82942
Shares Outstanding,73.54953
Institutions Holding Shares,132.0
% Held by Institutions,0.743548
FCF Growth 5yr,0.4257553961118184
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
