,LICY
% Above Low,0.2305
% Held by Institutions,0.41609999999999997
52-Wk Range,['5.06 - 13.20']
Annual Dividend $,
Annual Dividend %,
Ask,6.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,6.11
Bid Size,100.0
Change Since Close,-0.04| |(-0.64%)
Closing Price,6.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.36
Ex-dividend Date,No dividend
Historical Volatility,0.716
Last (size),50.0
Last (time),5:00p ET 11/25/22
Last Trade,6.18
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.22
Shares Outstanding,175.4M
Short Interest,0.08380000000000001
Today's Open,
Volume,73.0
Volume 10-day Avg,1214853.0
Volume Past Day,(Light)
