,LICY
Price/Earnings (TTM),
Price/Sales (TTM),73.15533
Price/Book (MRQ),2.08261
Price/Cash Flow (TTM),
5yr Low,5.06
5yr High,15.74
5yr Avg Return,-0.1225
Short Int Current Month,11280321.0
Short Int Prev Month,11843768.0
Short Int Pct of Float,0.0837573
Days to Cover,9.50686
Float,136.6593
Shares Outstanding,175.4302
Institutions Holding Shares,202.0
% Held by Institutions,0.41606099999999996
FCF Growth 5yr,0.3941574503377798
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
