,AWI
% Above Low,0.0722
% Held by Institutions,1.0277
52-Wk Range,['71.64 - 118.14']
Annual Dividend $,1.02
Annual Dividend %,0.0132
Ask,77.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,76.81
Day Change $,0.01
Day Change %,0.0001
Day High,77.4
Day Low,76.11
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.09
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.302
Last (size),18.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.77
Prev Close,76.8
Shares Outstanding,45.7M
Short Interest,0.0178
Today's Open,76.26
Volume,152578.0
Volume 10-day Avg,250439.0
Volume Past Day,(Light)
