,TSVT
% Above Low,0.5307999999999999
% Held by Institutions,0.8898999999999999
52-Wk Range,['9.91 - 34.02']
Annual Dividend $,
Annual Dividend %,
Ask,15.17
Ask Size,500.0
B/A Ratio,6.4
B/A Size,3200x500
Beta,
Bid,15.15
Bid Size,3200.0
Closing Price,15.17
Day Change $,-0.71
Day Change %,-0.0447
Day High,16.15
Day Low,15.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.53
Ex-dividend Date,No dividend
Historical Volatility,0.856
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,575.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.88
Shares Outstanding,37.9M
Short Interest,0.04650000000000001
Today's Open,15.82
Volume,339228.0
Volume 10-day Avg,377532.0
Volume Past Day,(Below Average)
