,TSVT
Price/Earnings (TTM),
Price/Sales (TTM),11.72506
Price/Book (MRQ),1.86287
Price/Cash Flow (TTM),
5yr Low,9.91
5yr High,64.0
5yr Avg Return,0.22704999999999997
Short Int Current Month,1736104.0
Short Int Prev Month,2047774.0
Short Int Pct of Float,0.0465152
Days to Cover,4.25032
Float,37.3036
Shares Outstanding,37.91669
Institutions Holding Shares,192.0
% Held by Institutions,0.8898990000000001
FCF Growth 5yr,0.18783011739998526
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
