,PTCT
% Below High,0.2747
% Held by Institutions,1.0623
52-Wk Range,['25.01 - 55.58']
Annual Dividend $,
Annual Dividend %,
Ask,40.32
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,40.27
Bid Size,100.0
Day Change $,0.56
Day Change %,0.0141
Day High,40.34
Day Low,39.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.46
Ex-dividend Date,No dividend
Historical Volatility,0.5660000000000001
Last (size),100.0
Last (time),11:47a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,39.75
Price,40.31
Shares Outstanding,73.0M
Short Interest,0.0676
Today's Open,39.81
Volume Past Day,(Light)
