,PACW
% Above Low,0.2114
% Held by Institutions,0.9372
52-Wk Range,['21.29 - 51.81']
Annual Dividend $,1.0
Annual Dividend %,0.0379
Ask,25.79
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,25.78
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0227
Day High,25.96
Day Low,25.68
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.33
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.43200000000000005
Last (size),100.0
Last (time),9:59a ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.1
Prev Close,26.39
Price,25.79
Shares Outstanding,117.8M
Short Interest,0.0346
Today's Open,25.96
Volume Past Day,(Light)
