,PACW
Price/Earnings (TTM),6.09631
Price/Sales (TTM),2.16469
Price/Book (MRQ),0.94009
Price/Cash Flow (TTM),5.30117
5yr Low,13.84
5yr High,55.86
5yr Avg Return,-0.018300000000000007
EPS Growth 5yr,0.1196817
Revenue Growth 5yr,0.0266565
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,3998583.0
Short Int Prev Month,4232624.0
Short Int Pct of Float,0.0346263
Days to Cover,3.01187
Float,115.6914
Shares Outstanding,117.8082
Institutions Holding Shares,408.0
% Held by Institutions,0.937153
FCF Growth 5yr,0.36322890318495515
