,BLL
% Above Low,0.2211
% Held by Institutions,0.8348
52-Wk Range,['46.00 - 97.99']
Annual Dividend $,0.8
Annual Dividend %,0.014199999999999999
Ask,56.96
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.7
Bid,56.07
Bid Size,100.0
Closing Price,56.17
Day Change $,0.05
Day Change %,0.0009
Day High,56.61
Day Low,55.67
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.41700000000000004
Last (size),7800.0
Last (time),5:00p ET 11/25/22
Market Cap,17.6B
"P/E Ratio (TTM, GAAP)",19.2
Prev Close,56.12
Shares Outstanding,313.9M
Short Interest,0.044000000000000004
Today's Open,56.34
Volume,526913.0
Volume 10-day Avg,1730572.0
Volume Past Day,(Light)
