,KNTK
% Above Low,0.13699999999999998
% Held by Institutions,0.39020000000000005
52-Wk Range,['29.05 - 44.99']
Annual Dividend $,3.0
Annual Dividend %,0.0908
Ask,36.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.7
Bid,30.5
Bid Size,400.0
Closing Price,33.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",-3.52
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.46299999999999997
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,33.03
Shares Outstanding,45.7M
Short Interest,0.0736
Today's Open,
Volume,112203.0
Volume 10-day Avg,174209.0
Volume Past Day,(Light)
