,DLB
% Above Low,0.1709
% Held by Institutions,0.9179999999999999
52-Wk Range,['61.55 - 96.85']
Annual Dividend $,1.08
Annual Dividend %,0.015
Ask,72.06
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,21.72
Bid Size,100.0
Closing Price,72.07
Day Change $,0.77
Day Change %,0.0108
Day High,72.47
Day Low,70.74
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.275
Last (size),54.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.06
Prev Close,71.3
Shares Outstanding,96.0M
Short Interest,0.0113
Today's Open,70.74
Volume,198851.0
Volume 10-day Avg,466782.0
Volume Past Day,(Light)
