,DLB
Price/Earnings (TTM),40.05936
Price/Sales (TTM),5.51579
Price/Book (MRQ),3.07651
Price/Cash Flow (TTM),25.39171
5yr Low,44.68
5yr High,104.74
5yr Avg Return,0.04036666666666666
EPS Growth 5yr,-0.0202133
Revenue Growth 5yr,0.0302584
Dividend Growth 5yr,0.1229551
Short Int Current Month,664909.0
Short Int Prev Month,705170.0
Short Int Pct of Float,0.0113104
Days to Cover,1.80408
Float,58.83416
Shares Outstanding,95.95756
Institutions Holding Shares,496.0
% Held by Institutions,0.9180200000000001
FCF Growth 5yr,3.8390739846558293
