,ATR
Price/Earnings (TTM),29.82515
Price/Sales (TTM),2.06993
Price/Book (MRQ),3.68912
Price/Cash Flow (TTM),14.6223
5yr Low,79.84
5yr High,158.97
5yr Avg Return,0.04581666666666666
EPS Growth 5yr,0.0261199
Revenue Growth 5yr,0.0672342
Dividend Growth 5yr,0.0421885
Short Int Current Month,931451.0
Short Int Prev Month,1044771.0
Short Int Pct of Float,0.0143393
Days to Cover,3.90217
Float,64.98953
Shares Outstanding,65.28401
Institutions Holding Shares,484.0
% Held by Institutions,0.915461
FCF Growth 5yr,0.4802462258729767
