,ATR
% Above Low,0.17379999999999998
% Held by Institutions,0.9155
52-Wk Range,['90.23 - 129.09']
Annual Dividend $,1.52
Annual Dividend %,0.0144
Ask,170.05
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,77.69
Bid Size,100.0
Closing Price,105.91
Day Change $,-0.28
Day Change %,-0.0026
Day High,106.55
Day Low,105.56
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",3.55
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.271
Last (size),77.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.83
Prev Close,106.19
Shares Outstanding,65.3M
Short Interest,0.0143
Today's Open,106.55
Volume,114719.0
Volume 10-day Avg,216252.0
Volume Past Day,(Light)
