,DNB
Price/Earnings (TTM),
Price/Sales (TTM),2.63641
Price/Book (MRQ),1.66615
Price/Cash Flow (TTM),10.36833
5yr Low,11.23
5yr High,29.55
5yr Avg Return,-0.1683666666666667
Short Int Current Month,11125805.0
Short Int Prev Month,14423993.0
Short Int Pct of Float,0.036927
Days to Cover,6.38637
Float,339.9787
Shares Outstanding,435.7314
Institutions Holding Shares,245.0
% Held by Institutions,0.856428
FCF Growth 5yr,0.3340599866023595
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
