,DNB
% Above Low,0.2004
% Held by Institutions,0.8564
52-Wk Range,['11.23 - 20.86']
Annual Dividend $,0.2
Annual Dividend %,0.0148
Ask,15.98
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,
Bid,12.02
Bid Size,300.0
Closing Price,13.48
Day Change $,0.11
Day Change %,0.008199999999999999
Day High,13.54
Day Low,13.28
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-0.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.375
Last (size),98.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.37
Shares Outstanding,435.7M
Short Interest,0.0369
Today's Open,13.37
Volume,745779.0
Volume 10-day Avg,1789507.0
Volume Past Day,(Light)
