,NPO
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.27541589648798515
Growth 1yr High Est,0.32545454545454544
Growth 1yr Consensus Est,0.3004352209712653
Growth 2yr Low Est,0.1587224409976158
Growth 2yr High Est,0.1805599201895498
Growth 2yr Consensus Est,0.1696411805935828
Growth 5yr Low Est,0.1587224409976158
Growth 5yr High Est,0.1805599201895498
Growth 5yr Consensus Est,0.1696411805935828
Growth 5yr Actual/Est,0.29778745603057144
Growth 3yr Historic,0.22057327001356852
