,NPO
Price/Earnings (TTM),14.95338
Price/Sales (TTM),2.24436
Price/Book (MRQ),1.96157
Price/Cash Flow (TTM),9.34603
5yr Low,30.04
5yr High,127.67
5yr Avg Return,0.08444999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.0078516
Dividend Growth 5yr,0.051547499999999996
Short Int Current Month,450627.0
Short Int Prev Month,364903.0
Short Int Pct of Float,0.0218472
Days to Cover,3.4473
Float,20.62237
Shares Outstanding,20.80283
Institutions Holding Shares,284.0
% Held by Institutions,0.9529470000000001
FCF Growth 5yr,0.39841551672221714
