,NPO
% Below High,0.0636
% Held by Institutions,0.9529000000000001
52-Wk Range,['76.14 - 127.67']
Annual Dividend $,1.12
Annual Dividend %,0.009399999999999999
Ask,136.49
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.4
Bid,102.47
Bid Size,300.0
Closing Price,119.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",7.99
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.354
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.95
Prev Close,119.55
Shares Outstanding,20.8M
Short Interest,0.0218
Today's Open,
Volume,24148.0
Volume 10-day Avg,111081.0
Volume Past Day,(Light)
