,CCNE
Price/Earnings (TTM),7.78647
Price/Sales (TTM),2.58459
Price/Book (MRQ),1.2156
Price/Cash Flow (TTM),8.6978
5yr Low,13.25
5yr High,33.78
5yr Avg Return,0.023
EPS Growth 5yr,0.17382
Revenue Growth 5yr,0.1374835
Dividend Growth 5yr,0.0074635
Short Int Current Month,88597.0
Short Int Prev Month,109204.0
Short Int Pct of Float,0.0043088
Days to Cover,1.41157
Float,20.59101
Shares Outstanding,21.12035
Institutions Holding Shares,143.0
% Held by Institutions,0.53492
FCF Growth 5yr,2.568134171907757
