,CCNE
% Below High,0.07440000000000001
% Held by Institutions,0.5349
52-Wk Range,['23.05 - 28.50']
Annual Dividend $,0.7
Annual Dividend %,0.0265
Ask,42.24
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,18.97
Bid Size,200.0
Closing Price,26.38
Day Change $,0.21
Day Change %,0.008
Day High,26.52
Day Low,26.29
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24600000000000002
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,557.2M
"P/E Ratio (TTM, GAAP)",7.79
Prev Close,26.17
Shares Outstanding,21.1M
Short Interest,0.0043
Today's Open,26.33
Volume,22402.0
Volume 10-day Avg,64088.0
Volume Past Day,(Light)
