,STRO
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.003816793893129833
Growth 1yr High Est,-0.11063829787234047
Growth 1yr Consensus Est,-0.057227545882735154
Growth 2yr Low Est,0.14368547278523586
Growth 2yr High Est,-0.14144355085004578
Growth 2yr Consensus Est,0.001120960967595036
Growth 5yr Low Est,0.07184273639261793
Growth 5yr High Est,-0.07072177542502289
Growth 5yr Consensus Est,0.000560480483797518
Growth 5yr Actual/Est,0.20680079404030544
Growth 3yr Historic,0.18013468013468015
