,VMI
% Below High,0.023399999999999997
% Held by Institutions,0.9632999999999999
52-Wk Range,['203.31 - 341.22']
Annual Dividend $,2.2
Annual Dividend %,0.006500000000000001
Ask,344.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,1.1
Bid,137.45
Bid Size,100.0
Closing Price,333.25
Day Change $,-7.19
Day Change %,-0.021099999999999997
Day High,338.67
Day Low,332.78
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",11.02
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.3
Last (size),200.0
Last (time),7:00p ET 11/28/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.9
Prev Close,340.44
Shares Outstanding,21.3M
Short Interest,0.0147
Today's Open,337.86
Volume,95623.0
Volume 10-day Avg,93665.0
Volume Past Day,(Average)
