,ARRY
% Below High,0.0308
% Held by Institutions,1.0351000000000001
52-Wk Range,['5.45 - 24.00']
Annual Dividend $,
Annual Dividend %,
Ask,23.4
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,23.26
Bid Size,1000.0
Closing Price,23.26
Day Change $,0.39
Day Change %,0.0171
Day High,23.5
Day Low,22.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,0.965
Last (size),43.0
Last (time),1:00p ET 11/25/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.87
Shares Outstanding,150.5M
Short Interest,0.1128
Today's Open,22.84
Volume,1981436.0
Volume 10-day Avg,4666978.0
Volume Past Day,(Light)
