,ARRY
Price/Earnings (TTM),
Price/Sales (TTM),2.4052
Price/Book (MRQ),56.56656
Price/Cash Flow (TTM),149.0805
5yr Low,5.45
5yr High,54.78
5yr Avg Return,0.09563333333333335
Short Int Current Month,16753992.0
Short Int Prev Month,19202886.0
Short Int Pct of Float,0.1128169
Days to Cover,3.19932
Float,148.5284
Shares Outstanding,150.4905
Institutions Holding Shares,330.0
% Held by Institutions,1.035111
FCF Growth 5yr,-0.7079140158087527
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
