,ARRY
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.90625
Growth 2yr High Est,2.1904761904761907
Growth 2yr Consensus Est,1.5483630952380953
Growth 5yr Low Est,0.90625
Growth 5yr High Est,2.1904761904761907
Growth 5yr Consensus Est,1.5483630952380953
Growth 5yr Actual/Est,1.665301245946407
Growth 3yr Historic,-0.3082437275985663
