,GIS
% Below High,0.0075
% Held by Institutions,0.7563
52-Wk Range,['61.41 - 83.60']
Annual Dividend $,2.16
Annual Dividend %,0.026000000000000002
Ask,82.97
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,0.3
Bid,82.65
Bid Size,200.0
Closing Price,82.97
Day Change $,0.19
Day Change %,0.0023
Day High,83.6
Day Low,82.64
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",4.75
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.225
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,49.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.45
Prev Close,82.78
Shares Outstanding,593.5M
Short Interest,0.0253
Today's Open,83.25
Volume,1319937.0
Volume 10-day Avg,3549574.0
Volume Past Day,(Light)
