,GNK
% Above Low,0.2458
% Held by Institutions,0.6139
52-Wk Range,['11.92 - 27.15']
Annual Dividend $,3.12
Annual Dividend %,0.2101
Ask,15.16
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,14.0
Bid Size,200.0
Closing Price,14.85
Day Change $,0.29
Day Change %,0.0199
Day High,15.2
Day Low,14.65
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",5.15
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.554
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,628.6M
"P/E Ratio (TTM, GAAP)",2.88
Prev Close,14.56
Shares Outstanding,42.3M
Short Interest,0.0451
Today's Open,14.65
Volume,573889.0
Volume 10-day Avg,1363097.0
Volume Past Day,(Light)
