,GNK
Price/Earnings (TTM),2.88139
Price/Sales (TTM),1.05954
Price/Book (MRQ),0.64681
Price/Cash Flow (TTM),2.24154
5yr Low,4.27
5yr High,27.15
5yr Avg Return,0.1447
EPS Growth 5yr,
Revenue Growth 5yr,0.32182810000000006
Dividend Growth 5yr,
Short Int Current Month,1791762.0
Short Int Prev Month,2130254.0
Short Int Pct of Float,0.0450915
Days to Cover,1.39377
Float,39.75903
Shares Outstanding,42.32718
Institutions Holding Shares,218.0
% Held by Institutions,0.613938
FCF Growth 5yr,2.6108848914861014
