,GNK
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.09677419354838712
Growth 1yr High Est,-0.13347921225382942
Growth 1yr Consensus Est,-0.11512670290110827
Growth 2yr Low Est,-0.2612991846862815
Growth 2yr High Est,-0.0010830404703489616
Growth 2yr Consensus Est,-0.13119111257831523
Growth 5yr Low Est,-0.2612991846862815
Growth 5yr High Est,-0.0010830404703489616
Growth 5yr Consensus Est,-0.13119111257831523
Growth 5yr Actual/Est,-3.4769263030836197
Growth 3yr Historic,-3.399894957983194
